Department,Year/Term,Metric,Value
CHEM,2021-2022,Fill_Rate,0.62
CHS,2021-2022,Fill_Rate,0.71
COMM,2021-2022,Fill_Rate,0.78
EAS,2021-2022,Fill_Rate,0.75
ENG,2021-2022,Fill_Rate,0.75
GWS,2021-2022,Fill_Rate,0.57
HIS,2021-2022,Fill_Rate,0.77
JMP,2021-2022,Fill_Rate,0.61
LANG,2021-2022,Fill_Rate,0.55
MUS,2021-2022,Fill_Rate,0.33
PHI,2021-2022,Fill_Rate,0.78
PHY,2021-2022,Fill_Rate,0.5
PSC,2021-2022,Fill_Rate,0.72
PSYC,2021-2022,Fill_Rate,0.7
SOAN,2021-2022,Fill_Rate,0.73
THAD,2021-2022,Fill_Rate,0.36
CLAS,2022-2023,Fill_Rate,0.69
AAS,2022-2023,Fill_Rate,0.64
ART,2022-2023,Fill_Rate,0.68
BIO,2022-2023,Fill_Rate,0.75
CHEM,2022-2023,Fill_Rate,0.62
CHS,2022-2023,Fill_Rate,0.71
COMM,2022-2023,Fill_Rate,0.79
EAS,2022-2023,Fill_Rate,0.74
ENG,2022-2023,Fill_Rate,0.81
GWS,2022-2023,Fill_Rate,0.66
HIS,2022-2023,Fill_Rate,0.78
JMP,2022-2023,Fill_Rate,0.7
LANG,2022-2023,Fill_Rate,0.57
MUS,2022-2023,Fill_Rate,0.36
PHI,2022-2023,Fill_Rate,0.8
PHY,2022-2023,Fill_Rate,0.72
PSC,2022-2023,Fill_Rate,0.73
PSYC,2022-2023,Fill_Rate,0.82
SOAN,2022-2023,Fill_Rate,0.72
THAD,2022-2023,Fill_Rate,0.42
CLAS,2023-2024,Fill_Rate,0.73
AAS,2023-2024,Fill_Rate,0.61
ART,2023-2024,Fill_Rate,0.79
BIO,2023-2024,Fill_Rate,0.78
CHEM,2023-2024,Fill_Rate,0.62
CHS,2023-2024,Fill_Rate,0.78
COMM,2023-2024,Fill_Rate,0.88
EAS,2023-2024,Fill_Rate,0.79
ENG,2023-2024,Fill_Rate,0.84
GWS,2023-2024,Fill_Rate,0.64
HIS,2023-2024,Fill_Rate,0.86
JMP,2023-2024,Fill_Rate,0.73
LANG,2023-2024,Fill_Rate,0.63
MUS,2023-2024,Fill_Rate,0.36
PHI,2023-2024,Fill_Rate,0.84
PHY,2023-2024,Fill_Rate,0.82
PSC,2023-2024,Fill_Rate,0.75
PSYC,2023-2024,Fill_Rate,0.86
SOAN,2023-2024,Fill_Rate,0.76
THAD,2023-2024,Fill_Rate,0.48
CLAS,2024-2025,Fill_Rate,0.75
AAS,2024-2025,Fill_Rate,0.73
ART,2024-2025,Fill_Rate,0.8
BIO,2024-2025,Fill_Rate,0.84
CHEM,2024-2025,Fill_Rate,0.71
CHS,2024-2025,Fill_Rate,0.75
COMM,2024-2025,Fill_Rate,0.88
EAS,2024-2025,Fill_Rate,0.84
ENG,2024-2025,Fill_Rate,0.88
GWS,2024-2025,Fill_Rate,0.7
HIS,2024-2025,Fill_Rate,0.86
JMP,2024-2025,Fill_Rate,0.74
LANG,2024-2025,Fill_Rate,0.68
MUS,2024-2025,Fill_Rate,0.27
PHI,2024-2025,Fill_Rate,0.83
PHY,2024-2025,Fill_Rate,0.81
PSC,2024-2025,Fill_Rate,0.76
PSYC,2024-2025,Fill_Rate,0.89
SOAN,2024-2025,Fill_Rate,0.77
THAD,2024-2025,Fill_Rate,0.48
AAS,2021-2022,Grad_4_Year,0
AAS,2021-2022,Grad_5_Year,0
AAS,2021-2022,Grad_6_Year,0
AAS,2022-2023,Grad_4_Year,
AAS,2022-2023,Grad_5_Year,0
AAS,2022-2023,Grad_6_Year,0
AAS,2023-2024,Grad_4_Year,
AAS,2023-2024,Grad_5_Year,
AAS,2023-2024,Grad_6_Year,0
AAS,2024-2025,Grad_4_Year,0
AAS,2024-2025,Grad_5_Year,
AAS,2024-2025,Grad_6_Year,
AAS,2025-2026,Grad_4_Year,
AAS,2025-2026,Grad_5_Year,0
AAS,2025-2026,Grad_6_Year,
ART,2021-2022,Grad_4_Year,0.036
ART,2021-2022,Grad_5_Year,0.074
ART,2021-2022,Grad_6_Year,0.135
ART,2022-2023,Grad_4_Year,0.02
ART,2022-2023,Grad_5_Year,0.073
ART,2022-2023,Grad_6_Year,0.13
ART,2023-2024,Grad_4_Year,0.026
ART,2023-2024,Grad_5_Year,0.16
ART,2023-2024,Grad_6_Year,0.145
ART,2024-2025,Grad_4_Year,0.031
ART,2024-2025,Grad_5_Year,0.103
ART,2024-2025,Grad_6_Year,0.26
ART,2025-2026,Grad_4_Year,0
ART,2025-2026,Grad_5_Year,0.313
ART,2025-2026,Grad_6_Year,0.154
BIO,2021-2022,Grad_4_Year,0.125
BIO,2021-2022,Grad_5_Year,0.09
BIO,2021-2022,Grad_6_Year,0.271
BIO,2022-2023,Grad_4_Year,0.057
BIO,2022-2023,Grad_5_Year,0.219
BIO,2022-2023,Grad_6_Year,0.12
BIO,2023-2024,Grad_4_Year,0.075
BIO,2023-2024,Grad_5_Year,0.126
BIO,2023-2024,Grad_6_Year,0.281
BIO,2024-2025,Grad_4_Year,0.12
BIO,2024-2025,Grad_5_Year,0.104
BIO,2024-2025,Grad_6_Year,0.161
BIO,2025-2026,Grad_4_Year,0.077
BIO,2025-2026,Grad_5_Year,0.2
BIO,2025-2026,Grad_6_Year,0.149
CHEM,2021-2022,Grad_4_Year,0.065
CHEM,2021-2022,Grad_5_Year,0.089
CHEM,2021-2022,Grad_6_Year,0
CHEM,2022-2023,Grad_4_Year,0.065
CHEM,2022-2023,Grad_5_Year,0.097
CHEM,2022-2023,Grad_6_Year,0.089
CHEM,2023-2024,Grad_4_Year,0.045
CHEM,2023-2024,Grad_5_Year,0.097
CHEM,2023-2024,Grad_6_Year,0.097
CHEM,2024-2025,Grad_4_Year,0.105
CHEM,2024-2025,Grad_5_Year,0.091
CHEM,2024-2025,Grad_6_Year,0.129
CHEM,2025-2026,Grad_4_Year,0
CHEM,2025-2026,Grad_5_Year,0.105
CHEM,2025-2026,Grad_6_Year,0.091
CHS,2021-2022,Grad_4_Year,
CHS,2021-2022,Grad_5_Year,0
CHS,2021-2022,Grad_6_Year,0
CHS,2022-2023,Grad_4_Year,0
CHS,2022-2023,Grad_5_Year,
CHS,2022-2023,Grad_6_Year,100
CHS,2023-2024,Grad_4_Year,
CHS,2023-2024,Grad_5_Year,0
CHS,2023-2024,Grad_6_Year,
CHS,2024-2025,Grad_4_Year,
CHS,2024-2025,Grad_5_Year,
CHS,2024-2025,Grad_6_Year,0
CHS,2025-2026,Grad_4_Year,
CHS,2025-2026,Grad_5_Year,
CHS,2025-2026,Grad_6_Year,
CLAS,2021-2022,Grad_4_Year,0.072
CLAS,2021-2022,Grad_5_Year,0.129
CLAS,2021-2022,Grad_6_Year,0.169
CLAS,2022-2023,Grad_4_Year,0.077
CLAS,2022-2023,Grad_5_Year,0.137
CLAS,2022-2023,Grad_6_Year,0.163
CLAS,2023-2024,Grad_4_Year,0.091
CLAS,2023-2024,Grad_5_Year,0.151
CLAS,2023-2024,Grad_6_Year,0.172
CLAS,2024-2025,Grad_4_Year,0.104
CLAS,2024-2025,Grad_5_Year,0.154
CLAS,2024-2025,Grad_6_Year,0.188
CLAS,2025-2026,Grad_4_Year,0.102
CLAS,2025-2026,Grad_5_Year,0.208
CLAS,2025-2026,Grad_6_Year,0.185
COMM,2021-2022,Grad_4_Year,0.067
COMM,2021-2022,Grad_5_Year,0
COMM,2021-2022,Grad_6_Year,0
COMM,2022-2023,Grad_4_Year,0.263
COMM,2022-2023,Grad_5_Year,0.2
COMM,2022-2023,Grad_6_Year,0
COMM,2023-2024,Grad_4_Year,0.5
COMM,2023-2024,Grad_5_Year,0.263
COMM,2023-2024,Grad_6_Year,0.2
COMM,2024-2025,Grad_4_Year,0.125
COMM,2024-2025,Grad_5_Year,0.75
COMM,2024-2025,Grad_6_Year,0.316
COMM,2025-2026,Grad_4_Year,0
COMM,2025-2026,Grad_5_Year,0.125
COMM,2025-2026,Grad_6_Year,0.75
EAS,2021-2022,Grad_4_Year,0.111
EAS,2021-2022,Grad_5_Year,0.083
EAS,2021-2022,Grad_6_Year,0.115
EAS,2022-2023,Grad_4_Year,0.074
EAS,2022-2023,Grad_5_Year,0.222
EAS,2022-2023,Grad_6_Year,0.083
EAS,2023-2024,Grad_4_Year,0.063
EAS,2023-2024,Grad_5_Year,0.148
EAS,2023-2024,Grad_6_Year,0.222
EAS,2024-2025,Grad_4_Year,0.053
EAS,2024-2025,Grad_5_Year,0
EAS,2024-2025,Grad_6_Year,0.185
EAS,2025-2026,Grad_4_Year,0.154
EAS,2025-2026,Grad_5_Year,0.105
EAS,2025-2026,Grad_6_Year,0
ENG,2021-2022,Grad_4_Year,0.087
ENG,2021-2022,Grad_5_Year,0.2
ENG,2021-2022,Grad_6_Year,0.156
ENG,2022-2023,Grad_4_Year,0.129
ENG,2022-2023,Grad_5_Year,0.261
ENG,2022-2023,Grad_6_Year,0.2
ENG,2023-2024,Grad_4_Year,0.056
ENG,2023-2024,Grad_5_Year,0.258
ENG,2023-2024,Grad_6_Year,0.261
ENG,2024-2025,Grad_4_Year,0.056
ENG,2024-2025,Grad_5_Year,0.111
ENG,2024-2025,Grad_6_Year,0.323
ENG,2025-2026,Grad_4_Year,0.286
ENG,2025-2026,Grad_5_Year,0.333
ENG,2025-2026,Grad_6_Year,0.222
GWS,2021-2022,Grad_4_Year,0
GWS,2021-2022,Grad_5_Year,0
GWS,2021-2022,Grad_6_Year,0
GWS,2022-2023,Grad_4_Year,0
GWS,2022-2023,Grad_5_Year,0
GWS,2022-2023,Grad_6_Year,0
GWS,2023-2024,Grad_4_Year,
GWS,2023-2024,Grad_5_Year,0
GWS,2023-2024,Grad_6_Year,0
GWS,2024-2025,Grad_4_Year,
GWS,2024-2025,Grad_5_Year,
GWS,2024-2025,Grad_6_Year,0
GWS,2025-2026,Grad_4_Year,0
GWS,2025-2026,Grad_5_Year,
GWS,2025-2026,Grad_6_Year,
HIS,2021-2022,Grad_4_Year,0.182
HIS,2021-2022,Grad_5_Year,0.227
HIS,2021-2022,Grad_6_Year,0.15
HIS,2022-2023,Grad_4_Year,0.182
HIS,2022-2023,Grad_5_Year,0.182
HIS,2022-2023,Grad_6_Year,0.364
HIS,2023-2024,Grad_4_Year,0.154
HIS,2023-2024,Grad_5_Year,0.364
HIS,2023-2024,Grad_6_Year,0.364
HIS,2024-2025,Grad_4_Year,0.143
HIS,2024-2025,Grad_5_Year,0.154
HIS,2024-2025,Grad_6_Year,0.364
HIS,2025-2026,Grad_4_Year,0.182
HIS,2025-2026,Grad_5_Year,0.429
HIS,2025-2026,Grad_6_Year,0.154
JMP,2021-2022,Grad_4_Year,0.212
JMP,2021-2022,Grad_5_Year,0.107
JMP,2021-2022,Grad_6_Year,0.229
JMP,2022-2023,Grad_4_Year,0.154
JMP,2022-2023,Grad_5_Year,0.242
JMP,2022-2023,Grad_6_Year,0.107
JMP,2023-2024,Grad_4_Year,0.209
JMP,2023-2024,Grad_5_Year,0.154
JMP,2023-2024,Grad_6_Year,0.303
JMP,2024-2025,Grad_4_Year,0.115
JMP,2024-2025,Grad_5_Year,0.326
JMP,2024-2025,Grad_6_Year,0.154
JMP,2025-2026,Grad_4_Year,0.25
JMP,2025-2026,Grad_5_Year,0.192
JMP,2025-2026,Grad_6_Year,0.372
LANG,2021-2022,Grad_4_Year,0
LANG,2021-2022,Grad_5_Year,0.429
LANG,2021-2022,Grad_6_Year,0.167
LANG,2022-2023,Grad_4_Year,0.167
LANG,2022-2023,Grad_5_Year,0.1
LANG,2022-2023,Grad_6_Year,0.571
LANG,2023-2024,Grad_4_Year,0
LANG,2023-2024,Grad_5_Year,0.333
LANG,2023-2024,Grad_6_Year,0.1
LANG,2024-2025,Grad_4_Year,0.2
LANG,2024-2025,Grad_5_Year,0
LANG,2024-2025,Grad_6_Year,0.333
LANG,2025-2026,Grad_4_Year,0.2
LANG,2025-2026,Grad_5_Year,0.2
LANG,2025-2026,Grad_6_Year,0
MUS,2021-2022,Grad_4_Year,0.027
MUS,2021-2022,Grad_5_Year,0.16
MUS,2021-2022,Grad_6_Year,0.273
MUS,2022-2023,Grad_4_Year,0.076
MUS,2022-2023,Grad_5_Year,0.054
MUS,2022-2023,Grad_6_Year,0.181
MUS,2023-2024,Grad_4_Year,0
MUS,2023-2024,Grad_5_Year,0.19
MUS,2023-2024,Grad_6_Year,0.081
MUS,2024-2025,Grad_4_Year,0.059
MUS,2024-2025,Grad_5_Year,0.032
MUS,2024-2025,Grad_6_Year,0.215
MUS,2025-2026,Grad_4_Year,0.059
MUS,2025-2026,Grad_5_Year,0.118
MUS,2025-2026,Grad_6_Year,0.097
PHI,2021-2022,Grad_4_Year,0.25
PHI,2021-2022,Grad_5_Year,0
PHI,2021-2022,Grad_6_Year,0
PHI,2022-2023,Grad_4_Year,0
PHI,2022-2023,Grad_5_Year,0.25
PHI,2022-2023,Grad_6_Year,0
PHI,2023-2024,Grad_4_Year,
PHI,2023-2024,Grad_5_Year,0
PHI,2023-2024,Grad_6_Year,0.25
PHI,2024-2025,Grad_4_Year,
PHI,2024-2025,Grad_5_Year,
PHI,2024-2025,Grad_6_Year,0
PHI,2025-2026,Grad_4_Year,
PHI,2025-2026,Grad_5_Year,
PHI,2025-2026,Grad_6_Year,0
PHY,2021-2022,Grad_4_Year,0
PHY,2021-2022,Grad_5_Year,0
PHY,2021-2022,Grad_6_Year,0
PHY,2022-2023,Grad_4_Year,0
PHY,2022-2023,Grad_5_Year,0
PHY,2022-2023,Grad_6_Year,0
PHY,2023-2024,Grad_4_Year,0
PHY,2023-2024,Grad_5_Year,0
PHY,2023-2024,Grad_6_Year,0
PHY,2024-2025,Grad_4_Year,0
PHY,2024-2025,Grad_5_Year,0
PHY,2024-2025,Grad_6_Year,0
PHY,2025-2026,Grad_4_Year,1
PHY,2025-2026,Grad_5_Year,0
PHY,2025-2026,Grad_6_Year,0
PSC,2021-2022,Grad_4_Year,0.1
PSC,2021-2022,Grad_5_Year,0.188
PSC,2021-2022,Grad_6_Year,0.105
PSC,2022-2023,Grad_4_Year,0.154
PSC,2022-2023,Grad_5_Year,0.15
PSC,2022-2023,Grad_6_Year,0.188
PSC,2023-2024,Grad_4_Year,0.095
PSC,2023-2024,Grad_5_Year,0.231
PSC,2023-2024,Grad_6_Year,0.15
PSC,2024-2025,Grad_4_Year,0.167
PSC,2024-2025,Grad_5_Year,0.095
PSC,2024-2025,Grad_6_Year,0.306
PSC,2025-2026,Grad_4_Year,0.2
PSC,2025-2026,Grad_5_Year,0.167
PSC,2025-2026,Grad_6_Year,0.095
PSYC,2021-2022,Grad_4_Year,0.139
PSYC,2021-2022,Grad_5_Year,0.152
PSYC,2021-2022,Grad_6_Year,0.228
PSYC,2022-2023,Grad_4_Year,0.114
PSYC,2022-2023,Grad_5_Year,0.238
PSYC,2022-2023,Grad_6_Year,0.161
PSYC,2023-2024,Grad_4_Year,0.186
PSYC,2023-2024,Grad_5_Year,0.193
AAS,2021-2022,Graduates,1
ART,2021-2022,Graduates,72
BIO,2021-2022,Graduates,176
CHEM,2021-2022,Graduates,34
CHS,2021-2022,Graduates,5
CLAS,2021-2022,Graduates,1094
COMM,2021-2022,Graduates,64
EAS,2021-2022,Graduates,51
ENG,2021-2022,Graduates,64
GWS,2021-2022,Graduates,6
HIS,2021-2022,Graduates,68
JMP,2021-2022,Graduates,49
LANG,2021-2022,Graduates,22
MUS,2021-2022,Graduates,34
PHI,2021-2022,Graduates,9
PHY,2021-2022,Graduates,5
PSC,2021-2022,Graduates,40
PSYC,2021-2022,Graduates,281
SOAN,2021-2022,Graduates,40
THAD,2021-2022,Graduates,13
AAS,2022-2023,Graduates,2
ART,2022-2023,Graduates,57
BIO,2022-2023,Graduates,122
CHEM,2022-2023,Graduates,29
CHS,2022-2023,Graduates,2
CLAS,2022-2023,Graduates,935
COMM,2022-2023,Graduates,44
EAS,2022-2023,Graduates,48
ENG,2022-2023,Graduates,79
GWS,2022-2023,Graduates,4
HIS,2022-2023,Graduates,53
JMP,2022-2023,Graduates,47
LANG,2022-2023,Graduates,25
MUS,2022-2023,Graduates,30
PHI,2022-2023,Graduates,8
PHY,2022-2023,Graduates,4
PSC,2022-2023,Graduates,33
PSYC,2022-2023,Graduates,239
SOAN,2022-2023,Graduates,27
THAD,2022-2023,Graduates,23
AAS,2023-2024,Graduates,3
ART,2023-2024,Graduates,73
BIO,2023-2024,Graduates,141
CHEM,2023-2024,Graduates,18
CHS,2023-2024,Graduates,4
CLAS,2023-2024,Graduates,996
COMM,2023-2024,Graduates,46
EAS,2023-2024,Graduates,48
ENG,2023-2024,Graduates,66
GWS,2023-2024,Graduates,5
HIS,2023-2024,Graduates,56
JMP,2023-2024,Graduates,54
LANG,2023-2024,Graduates,18
MUS,2023-2024,Graduates,29
PHI,2023-2024,Graduates,6
PHY,2023-2024,Graduates,7
PSC,2023-2024,Graduates,37
PSYC,2023-2024,Graduates,275
SOAN,2023-2024,Graduates,43
THAD,2023-2024,Graduates,25
AAS,2024-2025,Graduates,1
ART,2024-2025,Graduates,69
BIO,2024-2025,Graduates,122
CHEM,2024-2025,Graduates,28
CHS,2024-2025,Graduates,2
CLAS,2024-2025,Graduates,973
COMM,2024-2025,Graduates,45
EAS,2024-2025,Graduates,38
ENG,2024-2025,Graduates,67
GWS,2024-2025,Graduates,12
HIS,2024-2025,Graduates,60
JMP,2024-2025,Graduates,64
LANG,2024-2025,Graduates,18
MUS,2024-2025,Graduates,21
PHI,2024-2025,Graduates,9
PHY,2024-2025,Graduates,3
PSC,2024-2025,Graduates,33
PSYC,2024-2025,Graduates,270
SOAN,2024-2025,Graduates,47
THAD,2024-2025,Graduates,17
AAS,Fall 2021,Majors,8
AAS,Fall 2022,Majors,9
AAS,Fall 2023,Majors,11
AAS,Fall 2024,Majors,5
AAS,Fall 2025,Majors,5
AAS,Spring 2022,Majors,9
AAS,Spring 2023,Majors,11
AAS,Spring 2024,Majors,8
AAS,Spring 2025,Majors,4
AAS,Spring 2026,Majors,2
ART,Fall 2021,Majors,428
ART,Fall 2022,Majors,425
ART,Fall 2023,Majors,423
ART,Fall 2024,Majors,396
ART,Fall 2025,Majors,411
ART,Spring 2022,Majors,379
ART,Spring 2023,Majors,377
ART,Spring 2024,Majors,395
ART,Spring 2025,Majors,366
ART,Spring 2026,Majors,374
BIO,Fall 2021,Majors,794
BIO,Fall 2022,Majors,707
BIO,Fall 2023,Majors,707
BIO,Fall 2024,Majors,662
BIO,Fall 2025,Majors,677
BIO,Spring 2022,Majors,693
BIO,Spring 2023,Majors,670
BIO,Spring 2024,Majors,635
BIO,Spring 2025,Majors,610
BIO,Spring 2026,Majors,611
CHEM,Fall 2021,Majors,215
CHEM,Fall 2022,Majors,189
CHEM,Fall 2023,Majors,181
CHEM,Fall 2024,Majors,184
CHEM,Fall 2025,Majors,202
CHEM,Spring 2022,Majors,180
CHEM,Spring 2023,Majors,164
CHEM,Spring 2024,Majors,167
CHEM,Spring 2025,Majors,171
CHEM,Spring 2026,Majors,188
CHS,Fall 2021,Majors,13
CHS,Fall 2022,Majors,12
CHS,Fall 2023,Majors,12
CHS,Fall 2024,Majors,8
CHS,Fall 2025,Majors,10
CHS,Spring 2022,Majors,12
CHS,Spring 2023,Majors,10
CHS,Spring 2024,Majors,10
CHS,Spring 2025,Majors,7
CHS,Spring 2026,Majors,8
CLAS,Fall 2021,Majors,5241
CLAS,Fall 2022,Majors,4990
CLAS,Fall 2023,Majors,4907
CLAS,Fall 2024,Majors,4729
CLAS,Fall 2025,Majors,4706
CLAS,Spring 2022,Majors,4679
CLAS,Spring 2023,Majors,4525
CLAS,Spring 2024,Majors,4493
CLAS,Spring 2025,Majors,4418
CLAS,Spring 2026,Majors,4342
COMM,Fall 2021,Majors,221
COMM,Fall 2022,Majors,188
COMM,Fall 2023,Majors,196
COMM,Fall 2024,Majors,188
COMM,Fall 2025,Majors,192
COMM,Spring 2022,Majors,194
COMM,Spring 2023,Majors,167
COMM,Spring 2024,Majors,176
COMM,Spring 2025,Majors,181
COMM,Spring 2026,Majors,166
EAS,Fall 2021,Majors,268
EAS,Fall 2022,Majors,247
EAS,Fall 2023,Majors,222
EAS,Fall 2024,Majors,214
EAS,Fall 2025,Majors,200
EAS,Spring 2022,Majors,242
EAS,Spring 2023,Majors,250
EAS,Spring 2024,Majors,200
EAS,Spring 2025,Majors,200
EAS,Spring 2026,Majors,184
ENG,Fall 2021,Majors,383
ENG,Fall 2022,Majors,373
ENG,Fall 2023,Majors,332
ENG,Fall 2024,Majors,341
ENG,Fall 2025,Majors,334
ENG,Spring 2022,Majors,351
ENG,Spring 2023,Majors,336
ENG,Spring 2024,Majors,322
ENG,Spring 2025,Majors,316
ENG,Spring 2026,Majors,302
GWS,Fall 2021,Majors,29
GWS,Fall 2022,Majors,34
GWS,Fall 2023,Majors,28
GWS,Fall 2024,Majors,30
GWS,Fall 2025,Majors,22
GWS,Spring 2022,Majors,26
GWS,Spring 2023,Majors,25
GWS,Spring 2024,Majors,29
GWS,Spring 2025,Majors,27
GWS,Spring 2026,Majors,21
HIS,Fall 2021,Majors,271
HIS,Fall 2022,Majors,238
HIS,Fall 2023,Majors,234
HIS,Fall 2024,Majors,224
HIS,Fall 2025,Majors,197
HIS,Spring 2022,Majors,238
HIS,Spring 2023,Majors,227
HIS,Spring 2024,Majors,215
